id,recipient,height,claimed_coins,fund_community_pool_coins
103,evmos13c0hgfnjuur96vdq5fntzl2pyzpys82yvyguma,274422,143393470162976509660aevmos,40136546171194962212aevmos
104,evmos1dsezl7948zgmvdmjy24gp0rguuqzymvv39ta4y,274422,110678680024020077481aevmos,30979513543413534807aevmos
105,evmos1uvkmjk9248g68fsudy4dl096yy92686wp6ujuz,274426,143392644402325382052aevmos,40137371931846089820aevmos
106,evmos16z4gqnw7gv2a5tkjgn49lvlpwe74qz9u9wxn7n,274426,43035450134949987139aevmos,12046153939908034237aevmos
107,evmos1sj7fk3av39rme8dpurahdq94ptqe5u6kdkxqlu,274442,143388987102631295204aevmos,40141029231540176668aevmos
108,evmos1yq2nzcs4mdv32aa90f6nra4gt3xacjl3m5k46f,274442,144766063201787982980aevmos,40526534792791815804aevmos
109,evmos1fgla49g8as9tecf7vv2fyeynj2y75yv7xwsnj0,274442,37224322874814511577aevmos,10420762869136683303aevmos
110,evmos1g7mvhgk2n6tsvp2cyd4km43efve8t8m4zsphcn,274442,449418097057571788900aevmos,125812346789637793692aevmos
111,evmos1he96jl4mhuts56z4hc47f352ye9ddfn3nd9wdr,274442,143388987102631295204aevmos,40141029231540176668aevmos
112,evmos1qd9s5khe8qlvmf2asvnzszk0svlastqrtpu3ye,274445,108918332234349984370aevmos,30491761676686946446aevmos
113,evmos1zsecpphemgygeukk0npdd2mgju3m24dakst9ky,274445,144765419653316281477aevmos,40527178341263517307aevmos
114,evmos1ks5am83a93y6u4yymx62qjy8gy5ulgne33vds8,274445,147978910490633108708aevmos,41426797301190815772aevmos
115,evmos1fa54cr7y6tn95nmwaxs987dfsqy9vgkwg92euw,274464,143383945950695128596aevmos,40146070383476343276aevmos
116,evmos1tut43pn72nasl74n6zc8urlnqqy6q6frqetlyf,274477,143381097189718128944aevmos,40148919144453342928aevmos
117,evmos1zu992zlzurmypkp5s8h5k6hsnasu6fjksc82v0,274478,313847426162149807521aevmos,87882703943029246559aevmos
118,evmos16azcpw9s35cv6d8mvylldff4h33n8hjaznsss2,274478,107535666857181641103aevmos,30111845393446962801aevmos
119,evmos1r5ml4p8l9xwu9e3rselcmqpyv29eykgmvdjzqs,274478,46057680238413299129aevmos,12896946539252315719aevmos
120,evmos1lh9xzrm0h7jdcqevh25h8fcpqahzxccx2s4lpu,274478,143380889142908854804aevmos,40149127191262617068aevmos
121,evmos1dplduvxlar55wd9wuq5kchdtehy7mp327qewsj,274478,304257555526315297332aevmos,85197374411266356684aevmos
122,evmos1tzjcl73tmazvjfp6ednhnpk528ktx6ugkksukx,274478,108912665185325289192aevmos,30497428725711641624aevmos
123,evmos1uvkmjk9248g68fsudy4dl096yy92686wp6ujuz,274478,143380889142908854804aevmos,40149127191262617068aevmos
124,evmos1umyvd6slk0xvt05ehx5ylyn3wm3tgjkzgrmqss,274478,143380889142908854804aevmos,40149127191262617068aevmos
125,evmos1h4cnrayf6yfwsw7g378x0afkd9ragqy98ku0uw,274479,37222163096080556642aevmos,10422922647870638238aevmos
126,evmos1dsezl7948zgmvdmjy24gp0rguuqzymvv39ta4y,274479,107535500687247805647aevmos,30112011563380798257aevmos
127,evmos1xz28zwv2m73tzd5hqkp66rdkv220qd0rez65he,274479,146134659983659650382aevmos,40920519671328475314aevmos
128,evmos13a74urn8l9xw2efqtrnm7earp3skk6zf2kjc65,274480,144757445939730296004aevmos,40535152054849502780aevmos
129,evmos16rfg7yt5sahe8lsespkhmmxc6lgalrdpq09ch3,274480,103343928268017855445aevmos,28938489616856585003aevmos
